S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
1,North Tamil Nadu,Chennai,T. Nagar,Shrine Vailankanni Senior Secondary School,cbse,,,,,Dhandapani St,,,,,,,
,,,,Mahatma Gandhi Vidyalaya,cbse,,,,,Dakshin Bharat Hindi Prachar Sabha,,,,,,,
,,,,Padma Seshadri Bala Bhavan Senior Secondary School (PSBB),cbse,,,,,Thirumalai Pillai Rd,,,,,,,
,,,,Sree Narayana Mission Senior Secondary School,cbse,,,,,Easwaran Koil Street,,,,,,,
,,,,Alpha School CBSE,cbse,,,,,CIT Nagar West,,,,,,,
,,,,Shri B S Mootha Girls Senior Secondary School,cbse,,,,,West Mambalam,,,,,,,
,,,,Sairam School,cbse,,,,,T. Nagar,,,,,,,
,,,,Sri Ahobila Math Oriental Higher Secondary School,cbse,,,,,West Mambalam,,,,,,,
,,,,The Springdale Academy,cbse,,,,,T. Nagar,,,,,,,
,,,,Vani Vidyalaya Senior Secondary School,cbse,,,,,West Mambalam,,,,,,,
,,,,Holy Angels Anglo Indian Higher Secondary School,icse,,,,,Pondy Bazaar,,,,,,,
,,,,Vidyodaya Matriculation Academy,matric,,,,,Thirumalai Pillai Rd,,,,,,,
,,,,Sir M Venkatasubba Rao Matriculation Higher Secondary School,matric,,,,,Thirumalai Pillai Road,,,,,,,
,,,,Anjuman Matriculation Higher Secondary School,matric,,,,,Lakshimi Colony,,,,,,,
,,,,Little Oxford Matriculation Higher Secondary School,matric,,,,,Ramanujam St,,,,,,,
,,,,Smt. Vasantben Chandubhai Shah Matriculation School,matric,,,,,Venkatanarayana Rd,,,,,,,
,,,,St. Johns Matriculation School,matric,,,,,South West Boag Road,,,,,,,
,,,,SRM Nightingale Matriculation Higher Secondary School,matric,,,,,Veerasamy St,,,,,,,
,,,,St. Augustines Matriculation School,matric,,,,,Asoka Nagar,,,,,,,
,,,,Sri Tarachand Galada Jain Vidyalaya Matriculation School,matric,,,,,Madley 1st Street,,,,,,,
,,,,The British International School (ICSE Wing),icse,,,,,CIT Nagar East,,,,,,,
,,,,Future Gems International School,icse,,,,,Kodambakkam Border,,,,,,,
,,,,GRT Mahalakshmi Vidyalaya Matric Higher Sec School,matric,,,,,Pinjala Subramaniam Road,,,,,,,
,,,,Beta Matriculation Higher Secondary School,matric,,,,,Usman Road,,,,,,,
,,,,Masi Matriculation Higher Secondary School,matric,,,,,Ranganathan Street,,,,,,,
,,,,Baba Matriculation School,matric,,,,,China Raji Thottam,,,,,,,
,,,,RKM Sarada Vidyalaya Matriculation School,matric,,,,,Burkit Road,,,,,,,
,,,,Jain Vidyalaya Matriculation School,matric,,,,,Madley Road,,,,,,,
,,,,Shrine Vailankanni Senior Secondary School,cbse,,,,,Dhandapani St,,,,,,,
,,,,Padma Seshadri Bala Bhavan Senior Secondary School,cbse,,,,,Thirumalai Pillai Rd,,,,,,,
,,,Mylapore,Vidya Mandir Senior Secondary School,cbse,,,,,Vinayagar Kovil,,,,,,,
,,,,P S Senior Secondary School,cbse,,,,,Alamelu Manga Puram Rd,,,,,,,
,,,,Sir Siva Swami Kalalaya Senior Secondary School,cbse,,,,,Girija Garden,,,,,,,
,,,,St. John's Senior Secondary School,cbse,,,,,Mandavelipakkam,,,,,,,
,,,,Sri Chaitanya Techno School,cbse,,,,,near Alwarpet Signal,,,,,,,
,,,,Chettinad Vidyashram,icse,,,,,Raja Annamalaipuram,,,,,,,
,,,,Rosary Matriculation Higher Secondary School,matric,,,,,Basha Garden,,,,,,,
,,,,Sir Sivaswami Kalalaya Matriculation Higher Secondary School,matric,,,,,Alamelu Manga Puram,,,,,,,
,,,,M.P. Aanandh Matriculation Higher Secondary School,matric,,,,,CIT Colony,,,,,,,
,,,,Dominic Savio Matriculation Higher Secondary School,matric,,,,,Santhome,,,,,,,
,,,,CSI St. Ebba’s Matriculation Higher Secondary School,matric,,,,,Dr Radha Krishnan Salai,,,,,,,
,,,,St. Bede's Academy CBSE,cbse,,,,,nochhi nagar,,,,,,,
,,,,M.C.T.M. Chidambaram Chettyar International School,igcse,,,,,CIT coloy,,,,,,,
,,,,Canopo International School,igcse,,,,,bheemasena garden,,,,,,,
,,,,Rosary Matriculation Higher Secondary School,matric,,,,,Papanasam Sivan Salai,,,,,,,
,,,,Sri Venugopal Vidyalaya Matriculation Higher Secondary School,matric,,,,,mandaveli  ,,,,,,,
,,,Adyar,Bala Vidya Mandir Senior Secondary School,cbse,,,,,Adithanar Road,,,,,,,
,,,,Sri Sankara Senior Secondary School,cbse,,,,,vasantha press road,,,,,,,
,,,,The Hindu Senior Secondary School,cbse,,,,,indhira nagara,,,,,,,
,,,,Bharath Senior Secondary School,cbse,,,,,kamaraj avenue,,,,,,,
,,,,Sishya School,cbse,,,,,Padmanabha Nagar,,,,,,,
,,,,St. Michael’s Academy,cbse,,,,,canal cross road,,,,,,,
,,,,St. Patrick’s Anglo-Indian Hr. Sec. School,cbse,,,,,gandhi nagar,,,,,,,
,,,,Kumararani Meena Muthiah Matric School,cbse,,,,,gandhi nagar,,,,,,,
,,,,Sri Mylai Karpagavalli Matric School,cbse,,,,,shastri nagar,,,,,,,
,,,,Vidya Ratna PTS Matric School,cbse,,,,,shastri nagar,,,,,,,
,,,,Shiv Nadar School,cbse,,,,,Besant Avenue Road,,,,,,,
,,,,St. John’s English School,cbse,,,,,custom colony,,,,,,,
,,,,Besant Arundale Senior Secondary School,cbse / matric,,,,,thiruvanmiuyr road,,,,,,,
,,,,Chettinad Vidyashram,cbse,,,,,MRC nagar,,,,,,,
,,,Anna Nagar,SBOA School & Junior College,cbse,,,,,D sector,,,,,,,
,,,,Chinmaya Vidyalaya Senior Secondary School,cbse,,,,,Z block,,,,,,,
,,,,Chennai Public School,cbse,,,,,radial nagar,,,,,,,
,,,,Jaigopal Garodia Vivekananda Vidyalaya,cbse   ,,,,,anna nagar east,,,,,,,
,,,,Shri Krishnaswamy Vidyashram,cbse,,,,,vaigai colony,,,,,,,
,,,,Kola Perumal Chetty Vaishnav Senior Secondary School,cbse   ,,,,,EVR Periyar High Road,,,,,,,
,,,,Faith International Academy,cbse   ,,,,,ponni colony,,,,,,,
,,,,CPS Global School,icse,,,,,3rd avenue,,,,,,,
,,,,The Sun Smart Foundation International School,icse,,,,,6th avenue,,,,,,,
,,,,Aachi Global School (Main Campus),icse,,,,,thangam colony,,,,,,,
,,,,C.S.I. Jessie Moses Matriculation Higher Secondary School,matric,,,,,kathiravan colony,,,,,,,
,,,,Leo Matriculation Higher Secondary School,cbse,,,,,poineer colony,,,,,,,
,,,,ICI Matriculation Higher Secondary School,matric,,,,,thangam colony,,,,,,,
,,,,CSI Ewart Matriculation & Higher Secondary School,matric,,,,,soundarya colony,,,,,,,
,,,,Valliammal Matriculation Higher Secondary School,matric,,,,,block F,,,,,,,
,,,,Grace Matriculation Higher Secondary School,matric,,,,,Block L,,,,,,,
,,,,Shri Krishnaswamy Matriculation Higher Secondary School,matric,,,,,block AC,,,,,,,
